year_film,year_ceremony,ceremony,category,nominee,film,winner
1988,1989,46,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sônia Braga,Moon Over Parador,False
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,Raul Julia,Moon Over Parador,False
1988,1989,46,Best Performance by an Actress in a Motion Picture - Drama,Christine Lahti,Running on Empty,False
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,River Phoenix,Running on Empty,False
1988,1989,46,Best Director - Motion Picture,Sidney Lumet,Running on Empty,False
1988,1989,46,Best Screenplay - Motion Picture,Naomi Foner,Running on Empty,True
1988,1989,46,Best Performance by an Actor in a Supporting Role in any Motion Picture,Martin Landau,Tucker: The Man and His Dream,True
1988,1989,46,Best Original Song - Motion Picture,"Twins, Skip Scarborough, Lorrin Bates",Twins,False
1989,1990,47,Best Original Score - Motion Picture,Ennio Morricone,Casualties of War,False
1989,1990,47,Best Original Song - Motion Picture,"After All, Tom Snow, Dean Pitchford",Chances Are,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Jack Lemmon,Dad,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Thora Birch,Ghost World,False
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Steve Buscemi,Ghost World,False
1989,1990,47,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,Sea of Love,False
1969,1970,27,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Lee Marvin,Paint Your Wagon,False
1980,1981,38,New Star Of The Year - Actor,William Hurt,Altered States,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Training Day,False
1974,1975,32,Best Original Score - Motion Picture,Paul Williams,Phantom of the Paradise,False
1958,1959,16,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,Indiscreet,False
1958,1959,16,Actress In A Leading Role - Musical Or Comedy,Ingrid Bergman,Indiscreet,False
1959,1960,17,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,Operation Petticoat,False
1971,1972,29,Best Performance by an Actress in a Motion Picture - Drama,Jessica Walter,Play Misty for Me,False
1961,1962,19,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Glenn Ford,Pocketful of Miracles,True
1961,1962,19,New Star Of The Year - Actress,Ann-Margret,Pocketful of Miracles,True
1961,1962,19,Actress In A Leading Role - Musical Or Comedy,Bette Davis,Pocketful of Miracles,False
1983,1984,41,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Silkwood,False
1983,1984,41,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cher,Silkwood,True
1983,1984,41,Best Performance by an Actor in a Supporting Role in any Motion Picture,Kurt Russell,Silkwood,False
1983,1984,41,Best Director - Motion Picture,Mike Nichols,Silkwood,False
1977,1978,35,Best Performance by an Actress in a Motion Picture - Drama,Kathleen Quinlan,I Never Promised You a Rose Garden,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sissy Spacek,Coal Miner's Daughter,True
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tommy Lee Jones,Coal Miner's Daughter,False
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Beverly D'Angelo,Coal Miner's Daughter,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cate Blanchett,Bandits,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Bob Thornton,Bandits,False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Musical or Comedy, Topol,Fiddler on the Roof,True
1971,1972,29,Best Performance by an Actor in a Supporting Role in any Motion Picture,Paul Mann,Fiddler on the Roof,False
1971,1972,29,Best Director - Motion Picture,Norman Jewison,Fiddler on the Roof,False
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Hayden Christensen,Life as a House,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,In the Bedroom,True
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Tomei,In the Bedroom,False
1968,1969,26,Best Director - Motion Picture,William Wyler,Funny Girl,False
1968,1969,26,Best Original Song - Motion Picture,"Funny Girl, Jule Styne, Bob Merrill",Funny Girl,False
1968,1969,26,Actress In A Leading Role - Musical Or Comedy,Barbra Streisand,Funny Girl,True
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Gregory Peck,MacArthur,False
1980,1981,38,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Irene Cara,Fame,False
1980,1981,38,Best Original Score - Motion Picture,Michael Gore,Fame,False
1980,1981,38,Best Original Song - Motion Picture,"Fame, Michael Gore, Dean Pitchford",Fame,True
1984,1985,42,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,Moscow on the Hudson,False
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cameron Diaz,Vanilla Sky,False
2001,2002,59,Best Original Song - Motion Picture,"""Vanilla Sky"", Paul McCartney",Vanilla Sky,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Iris,False
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,Iris,False
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jim Broadbent,Iris,True
2001,2002,59,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,Kate & Leopold,False
2001,2002,59,Best Original Song - Motion Picture,"""Until…"", Sting",Kate & Leopold,True
1964,1965,22,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter Ustinov,Topkapi,False
1964,1965,22,Actress In A Leading Role - Musical Or Comedy,Melina Mercouri,Topkapi,False
1957,1958,15,Best Performance by an Actress in a Motion Picture - Drama,Marlene Dietrich,Witness for the Prosecution,False
1957,1958,15,Best Performance by an Actor in a Motion Picture - Drama,Charles Laughton,Witness for the Prosecution,False
1957,1958,15,Best Performance by an Actress in a Supporting Role in any Motion Picture,Elsa Lanchester,Witness for the Prosecution,True
1957,1958,15,Best Director - Motion Picture,Billy Wilder,Witness for the Prosecution,False
2001,2002,59,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,Ali,False
2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jon Voight,Ali,False
2001,2002,59,Best Original Score - Motion Picture,Pieter Bourke,Ali,False
1983,1984,41,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Barbra Streisand,Yentl,False
1983,1984,41,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Mandy Patinkin,Yentl,False
1983,1984,41,Best Director - Motion Picture,Barbra Streisand,Yentl,True
1983,1984,41,Best Original Score - Motion Picture,Michel Legrand,Yentl,False
1983,1984,41,Best Original Song - Motion Picture,"The Way He Makes Me Feel, Michel Legrand, Alan Bergman, Marilyn Bergman",Yentl,False
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Helen Mirren,Gosford Park,False
2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maggie Smith,Gosford Park,False
2001,2002,59,Best Director - Motion Picture,Robert Altman,Gosford Park,True
2001,2002,59,Best Screenplay - Motion Picture,Julian Fellowes,Gosford Park,False
2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Halle Berry,Monster's Ball,False
1976,1977,34,New Star Of The Year - Actor,Truman Capote,Murder by Death,False
1982,1983,40,New Star Of The Year - Actor,Eddie Murphy,48 Hrs.,False
1972,1973,30,Best Performance by an Actor in a Motion Picture - Drama,Laurence Olivier,Sleuth,False
1972,1973,30,Best Performance by an Actor in a Motion Picture - Drama,Michael Caine,Sleuth,False
1980,1981,38,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walter Matthau,Hopscotch,False
1981,1982,39,Best Performance by an Actor in a Motion Picture - Drama,Timothy Hutton,Taps,False
2002,2003,60,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nia Vardalos,My Big Fat Greek Wedding,False
1992,1993,50,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judy Davis,Husbands and Wives,False
1974,1975,32,Best Performance by an Actress in a Motion Picture - Drama,Valerie Perrine,Lenny,False
1974,1975,32,Best Performance by an Actor in a Motion Picture - Drama,Dustin Hoffman,Lenny,False
1974,1975,32,Best Director - Motion Picture,Bob Fosse,Lenny,False
1972,1973,30,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Butterflies Are Free,False
1972,1973,30,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Edward Albert,Butterflies Are Free,False
1972,1973,30,Best Original Song - Motion Picture,"Carry Me, Bob Alcivar, Randy McNeill",Butterflies Are Free,False
1972,1973,30,New Star Of The Year - Actor,Edward Albert,Butterflies Are Free,True
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Diane Lane,Unfaithful,False
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Grant,About a Boy,False
2002,2003,60,Best Original Song - Motion Picture,"""Here I Am"", Hans Zimmer, Bryan Adams, Gretchen Peters",Spirit: Stallion of the Cimarron,False
1952,1953,10,Actress In A Leading Role - Musical Or Comedy,Ginger Rogers,Monkey Business,False
2002,2003,60,Best Original Score - Motion Picture,Peter Gabriel,Rabbit-Proof Fence,False
2002,2003,60,Best Performance by an Actor in a Supporting Role in any Motion Picture,Paul Newman,Road to Perdition,False
1969,1970,27,Foreign Film - Foreign Language,"Algeria, Constantin Costa-Gavras",Z,True
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kieran Culkin,Igby Goes Down,False
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Susan Sarandon,Igby Goes Down,False
2002,2003,60,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maggie Gyllenhaal,Secretary,False
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Adam Sandler,Punch-Drunk Love,False
1991,1992,49,Best Performance by an Actress in a Supporting Role in any Motion Picture,Nicole Kidman,Billy Bathgate,False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Saturday Night Fever,False
1977,1978,35,Best Original Score - Motion Picture,Barry Gibb,Saturday Night Fever,False
1977,1978,35,Best Original Song - Motion Picture,"How Deep Is Your Love?, Barry Gibb, Robin Gibb, Maurice Gibb, The Bee Gees",Saturday Night Fever,False
1983,1984,41,Best Original Song - Motion Picture,"Far From Over, Frank Stallone, Vince DiCola",Staying Alive,False
1980,1981,38,Best Performance by an Actress in a Supporting Role in any Motion Picture,Debra Winger,Urban Cowboy,False
1980,1981,38,New Star Of The Year - Actress,Debra Winger,Urban Cowboy,False
1981,1982,39,Best Performance by an Actress in a Motion Picture - Drama,Sally Field,Absence of Malice,False
1981,1982,39,Best Screenplay - Motion Picture,Kurt Luedtke,Absence of Malice,False
1981,1982,39,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Blair Brown,Continental Divide,False
1981,1982,39,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jill Clayburgh,First Monday in October,False
1981,1982,39,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walter Matthau,First Monday in October,False
2002,2003,60,Best Performance by an Actress in a Motion Picture - Drama,Salma Hayek,Frida,False
2002,2003,60,Best Original Score - Motion Picture,Elliot Goldenthal,Frida,True
1960,1961,18,Best Performance by an Actor in a Supporting Role in any Motion Picture,Sal Mineo,Exodus,True
1960,1961,18,Best Original Score - Motion Picture,Ernest Gold,Exodus,False
1960,1961,18,New Star Of The Year - Actress,Jill Haworth,Exodus,False
2002,2003,60,Best Original Song - Motion Picture,"""Lose Yourself"", Eminem, Jeffrey Bass, Luis Resto",8 Mile,False
1958,1959,16,Best Performance by an Actor in a Supporting Role in any Motion Picture,Harry Guardino,Houseboat,False
1981,1982,39,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mary Steenburgen,Ragtime,False
1981,1982,39,Best Performance by an Actor in a Supporting Role in any Motion Picture,Howard E. Rollins Jr.,Ragtime,False
1981,1982,39,Best Director - Motion Picture,Milos Forman,Ragtime,False
1981,1982,39,Best Original Song - Motion Picture,"One More Hour, Randy Newman, Jennifer Warnes",Ragtime,False
1981,1982,39,New Star Of The Year,Elizabeth McGovern,Ragtime,False
1981,1982,39,New Star Of The Year,Howard E. Rollins Jr.,Ragtime,False
2002,2003,60,Best Original Song - Motion Picture,"""Die Another Day"", Madonna, Mirwais Ahmadzaï",Die Another Day,False
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Nicolas Cage,Adaptation,False
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meryl Streep,Adaptation,True
2002,2003,60,Best Performance by an Actor in a Supporting Role in any Motion Picture,Chris Cooper,Adaptation,True
2002,2003,60,Best Director - Motion Picture,Spike Jonze,Adaptation,False
2002,2003,60,Best Screenplay - Motion Picture,Charlie Kaufman,Adaptation,False
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,About Schmidt,True
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kathy Bates,About Schmidt,False
2002,2003,60,Best Director - Motion Picture,Alexander Payne,About Schmidt,False
2002,2003,60,Best Screenplay - Motion Picture,"Alexander Payne, Jim Taylor",About Schmidt,True
2002,2003,60,Best Original Score - Motion Picture,Terence Blanchard,25th Hour,False
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Gangs of New York,False
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cameron Diaz,Gangs of New York,False
2002,2003,60,Best Director - Motion Picture,Martin Scorsese,Gangs of New York,True
2002,2003,60,Best Original Song - Motion Picture,"""The Hands That Built America"", U2",Gangs of New York,True
1956,1957,14,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,War and Peace,False
1956,1957,14,Best Performance by an Actor in a Supporting Role in any Motion Picture,Oscar Homolka,War and Peace,False
1956,1957,14,Best Director - Motion Picture,King Vidor,War and Peace,False
1956,1957,14,Foreign Film - Foreign Language,"Italy, King Vidor",War and Peace,True
2002,2003,60,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Catch Me If You Can,False
2002,2003,60,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Chicago,True
2002,2003,60,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Catherine Zeta-Jones,Chicago,False
2002,2003,60,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Gere,Chicago,True
2002,2003,60,Best Performance by an Actress in a Supporting Role in any Motion Picture,Queen Latifah,Chicago,False
2002,2003,60,Best Performance by an Actor in a Supporting Role in any Motion Picture,John C. Reilly,Chicago,False
2002,2003,60,Best Director - Motion Picture,Rob Marshall,Chicago,False
2002,2003,60,Best Screenplay - Motion Picture,Bill Condon,Chicago,False
1959,1960,17,Best Performance by an Actress in a Supporting Role in any Motion Picture,Susan Kohner,Imitation of Life,True
1959,1960,17,Best Performance by an Actress in a Supporting Role in any Motion Picture,Juanita Moore,Imitation of Life,False
1982,1983,40,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Field,Kiss Me Goodbye,False
1982,1983,40,Best Performance by an Actress in a Motion Picture - Drama,Sissy Spacek,Missing,False
1982,1983,40,Best Performance by an Actor in a Motion Picture - Drama,Jack Lemmon,Missing,False
1982,1983,40,Best Director - Motion Picture,Constantin Costa-Gavras,Missing,False
1982,1983,40,Best Screenplay - Motion Picture,Constantin Costa-Gavras,Missing,False
1959,1960,17,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tony Randall,Pillow Talk,False
1959,1960,17,Actress In A Leading Role - Musical Or Comedy,Doris Day,Pillow Talk,False
1966,1967,24,Best Performance by an Actress in a Motion Picture - Drama,Virginia McKenna,Born Free,False
1966,1967,24,Best Original Song - Motion Picture,"Born Free, John Barry, Don Black",Born Free,False
1977,1978,35,Best Performance by an Actor in a Motion Picture - Drama,Richard Burton,Equus,True
1977,1978,35,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Firth,Equus,True
1990,1991,48,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Andie MacDowell,Green Card,False
1990,1991,48,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gérard Depardieu,Green Card,True
1969,1970,27,Actress In A Leading Role - Musical Or Comedy,Shirley MacLaine,Sweet Charity,False
1957,1958,15,Actress In A Leading Role - Musical Or Comedy,Cyd Charisse,Silk Stockings,False
1976,1977,34,Best Original Song - Motion Picture,"Car Wash, Norman Whitfield, Rose Royce",Car Wash,False
1965,1966,23,New Star Of The Year - Actress,Rosemary Forsyth,Shenandoah,False
1991,1992,49,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Goodman,Barton Fink,False
1989,1990,47,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,Music Box,False
1967,1968,25,Best Performance by an Actress in a Supporting Role in any Motion Picture,Carol Channing,Thoroughly Modern Millie,True
1967,1968,25,Best Original Score - Motion Picture,Elmer Bernstein,Thoroughly Modern Millie,False
1967,1968,25,Best Original Song - Motion Picture,"Thoroughly Modern Millie, Jimmy Van Heusen, Sammy Cahn",Thoroughly Modern Millie,False
1967,1968,25,Actress In A Leading Role - Musical Or Comedy,Julie Andrews,Thoroughly Modern Millie,False
2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,False
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,William H. Macy,Seabiscuit,False
1972,1973,30,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Juliet Mills,Avanti!,False
1972,1973,30,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,Avanti!,True
1972,1973,30,Best Performance by an Actor in a Supporting Role in any Motion Picture,Clive Revill,Avanti!,False
1972,1973,30,Best Director - Motion Picture,Billy Wilder,Avanti!,False
1972,1973,30,Best Screenplay - Motion Picture,I. A. L. Diamond,Avanti!,False
1985,1986,43,Best Performance by an Actor in a Supporting Role in any Motion Picture,Joel Grey,Remo Williams: The Adventure Begins,False
2003,2004,61,Best Performance by an Actress in a Supporting Role in any Motion Picture,Hope Davis,American Splendor,False
1967,1968,25,Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,Wait Until Dark,False
1967,1968,25,Best Performance by an Actor in a Supporting Role in any Motion Picture,Efrem Zimbalist Jr.,Wait Until Dark,False
1979,1980,37,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie Andrews,10,False
1979,1980,37,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dudley Moore,10,False
1979,1980,37,Best Original Score - Motion Picture,Henry Mancini,10,False
1979,1980,37,New Star Of The Year - Actress,Bo Derek,10,False
2003,2004,61,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Scarlett Johansson,Lost in Translation,False
2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,Lost in Translation,True
2003,2004,61,Best Director - Motion Picture,Sofia Coppola,Lost in Translation,False
2003,2004,61,Best Screenplay - Motion Picture,Sofia Coppola,Lost in Translation,True
1973,1974,31,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Tatum O'Neal,Paper Moon,False
1973,1974,31,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan O'Neal,Paper Moon,False
1973,1974,31,Best Performance by an Actress in a Supporting Role in any Motion Picture,Madeline Kahn,Paper Moon,False
1973,1974,31,Best Director - Motion Picture,Peter Bogdanovich,Paper Moon,False
1973,1974,31,New Star Of The Year - Actress,Tatum O'Neal,Paper Moon,True
1961,1962,19,Best Performance by an Actor in a Motion Picture - Drama,Maximilian Schell,Judgment at Nuremberg,True
1961,1962,19,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judy Garland,Judgment at Nuremberg,False
1961,1962,19,Best Performance by an Actor in a Supporting Role in any Motion Picture,Montgomery Clift,Judgment at Nuremberg,False
1961,1962,19,Best Director - Motion Picture,Stanley Kramer,Judgment at Nuremberg,True
1961,1962,19,Promoting International Understanding,Stanley Kramer,Judgment at Nuremberg,False
1954,1955,12,New Star Of The Year - Actor,Jeff Richards,Seven Brides for Seven Brothers,True
1985,1986,43,Best Performance by an Actor in a Motion Picture - Drama,William Hurt,Kiss of the Spider Woman,False
1985,1986,43,Best Performance by an Actor in a Motion Picture - Drama,Raul Julia,Kiss of the Spider Woman,False
1985,1986,43,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sônia Braga,Kiss of the Spider Woman,False
1993,1994,51,Best Original Song - Motion Picture,"The Day I Fall In Love, James Ingram, Carole Bayer Sager, Clif Magness",Beethoven's 2nd,False
1991,1992,49,Best Performance by an Actress in a Motion Picture - Drama,Annette Bening,Bugsy,False
1991,1992,49,Best Performance by an Actor in a Motion Picture - Drama,Warren Beatty,Bugsy,False
1991,1992,49,Best Performance by an Actor in a Supporting Role in any Motion Picture,Harvey Keitel,Bugsy,False
1991,1992,49,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Kingsley,Bugsy,False
1991,1992,49,Best Director - Motion Picture,Barry Levinson,Bugsy,False
1991,1992,49,Best Screenplay - Motion Picture,James Toback,Bugsy,False
1991,1992,49,Best Original Score - Motion Picture,Ennio Morricone,Bugsy,False
1976,1977,34,Best Original Score - Motion Picture,Paul Williams,Bugsy Malone,False
1976,1977,34,Best Original Song - Motion Picture,"Bugsy Malone, Paul Williams",Bugsy Malone,False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Albert Finney,Scrooge,True
1970,1971,28,Best Screenplay - Motion Picture,Leslie Bricusse,Scrooge,False
1970,1971,28,Best Original Score - Motion Picture,Leslie Bricusse,Scrooge,False
1970,1971,28,Best Original Song - Motion Picture,"Thank You Very Much, Leslie Bricusse",Scrooge,False
2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Sean Penn,Mystic River,True
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tim Robbins,Mystic River,True
2003,2004,61,Best Director - Motion Picture,Clint Eastwood,Mystic River,False
2003,2004,61,Best Screenplay - Motion Picture,Brian Helgeland,Mystic River,False
2003,2004,61,Best Performance by an Actress in a Supporting Role in any Motion Picture,Patricia Clarkson,Pieces of April,False
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Veronica Guerin,False
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,Peter Sarsgaard,Shattered Glass,False
2003,2004,61,Best Screenplay - Motion Picture,Richard Curtis,Love Actually,False
2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Russell Crowe,Master and Commander: The Far Side of the World,False
2003,2004,61,Best Director - Motion Picture,Peter Weir,Master and Commander: The Far Side of the World,False
2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Billy Bob Thornton,Bad Santa,False
1983,1984,41,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joanna Pacula,Gorky Park,False
1994,1995,52,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Shirley MacLaine,Guarding Tess,False
1986,1987,44,Best Performance by an Actress in a Supporting Role in any Motion Picture,Dianne Wiest,Hannah and Her Sisters,False
1986,1987,44,Best Performance by an Actor in a Supporting Role in any Motion Picture,Michael Caine,Hannah and Her Sisters,False
1986,1987,44,Best Director - Motion Picture,Woody Allen,Hannah and Her Sisters,False
1986,1987,44,Best Screenplay - Motion Picture,Woody Allen,Hannah and Her Sisters,False
1992,1993,50,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Hoffa,False
1992,1993,50,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,Lorenzo's Oil,False
1990,1991,48,Best Performance by an Actress in a Supporting Role in any Motion Picture,Diane Ladd,Wild at Heart,False
1985,1986,43,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Lone,Year of the Dragon,False
1985,1986,43,Best Original Score - Motion Picture,David Mansfield,Year of the Dragon,False
1973,1974,31,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Yvonne Elliman,Jesus Christ Superstar,False
1973,1974,31,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ted Neeley,Jesus Christ Superstar,False
1973,1974,31,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Carl Anderson,Jesus Christ Superstar,False
1973,1974,31,New Star Of The Year - Actor,Ted Neeley,Jesus Christ Superstar,False
1973,1974,31,New Star Of The Year - Actor,Carl Anderson,Jesus Christ Superstar,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Drama,Burt Lancaster,Birdman of Alcatraz,False
1962,1963,20,Best Performance by an Actor in a Supporting Role in any Motion Picture,Telly Savalas,Birdman of Alcatraz,False
1962,1963,20,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cary Grant,That Touch of Mink,False
1978,1979,36,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Goldie Hawn,Foul Play,False
1978,1979,36,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Chevy Chase,Foul Play,False
1978,1979,36,Best Performance by an Actor in a Supporting Role in any Motion Picture,Dudley Moore,Foul Play,False
1978,1979,36,Best Screenplay - Motion Picture,Colin Higgins,Foul Play,False
1978,1979,36,Best Original Song - Motion Picture,"Ready To Take a Chance Again, Charles Fox, Norman Gimbel",Foul Play,False
1978,1979,36,New Star Of The Year - Actor,Chevy Chase,Foul Play,False
2003,2004,61,Best Performance by an Actor in a Supporting Role in any Motion Picture,Albert Finney,Big Fish,False
2003,2004,61,Best Original Score - Motion Picture,Danny Elfman,Big Fish,False
2003,2004,61,Best Original Song - Motion Picture,"Man of the Hour, Eddie Vedder",Big Fish,False
2003,2004,61,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Diane Keaton,Something's Gotta Give,True
2003,2004,61,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Nicholson,Something's Gotta Give,False
2003,2004,61,Best Original Song - Motion Picture,"The Heart of Every Girl, Elton John, Bernie Taupin",Mona Lisa Smile,False
2003,2004,61,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Mirren,Calendar Girls,False
2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Ben Kingsley,House of Sand and Fog,False
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Charlize Theron,Monster,True
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Cold Mountain,False
2003,2004,61,Best Performance by an Actor in a Motion Picture - Drama,Jude Law,Cold Mountain,False
2003,2004,61,Best Performance by an Actress in a Supporting Role in any Motion Picture,Renée Zellweger,Cold Mountain,True
2003,2004,61,Best Director - Motion Picture,Anthony Minghella,Cold Mountain,False
2003,2004,61,Best Screenplay - Motion Picture,Anthony Minghella,Cold Mountain,False
2003,2004,61,Best Original Score - Motion Picture,Gabriel Yared,Cold Mountain,False
2003,2004,61,Best Original Song - Motion Picture,"""You Will Be My Ain True Love"", Sting",Cold Mountain,False
1965,1966,23,Best Performance by an Actress in a Motion Picture - Drama,Simone Signoret,Ship of Fools,False
1965,1966,23,Best Performance by an Actor in a Motion Picture - Drama,Oskar Werner,Ship of Fools,False
1968,1969,26,Best Original Score - Motion Picture,"Richard M. Sherman, Robert B. Sherman",Chitty Chitty Bang Bang,False
1968,1969,26,Best Original Song - Motion Picture,"Chitty Chitty Bang Bang, Richard M. Sherman, Robert B. Sherman",Chitty Chitty Bang Bang,False
2003,2004,61,Best Performance by an Actress in a Motion Picture - Drama,Evan Rachel Wood,Thirteen,False
2003,2004,61,Best Performance by an Actress in a Supporting Role in any Motion Picture,Holly Hunter,Thirteen,False
